size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions,name
"(1000, 1000)",7,30.0,,,0.5,True,inf,0,True,"[(1.2121872901916504, 52985), (2.489794969558716, 52985), (3.784808397293091, 52985), (5.033908843994141, 52985), (6.317850351333618, 52985), (7.640926361083984, 52985), (8.894582033157349, 52985), (10.180169105529785, 52985), (11.479296922683716, 52985), (12.723474264144897, 52985), (14.016565322875977, 52985), (15.319884777069092, 52985), (16.567370176315308, 52985), (17.8891122341156, 52985), (19.187367916107178, 52985), (20.43872880935669, 52985), (21.71565842628479, 52985), (23.006396293640137, 52985), (24.243090867996216, 52985), (25.52169919013977, 52985), (26.814128637313843, 52985), (28.092106103897095, 52985), (29.371129512786865, 52985)]",Greedy Best First
"(1000, 1000)",7,30.0,2.5,1.0,0.5,True,52985.0,0,True,"[(1.1254222393035889, 52985), (2.2904582023620605, 52985), (3.46772837638855, 52985), (4.739768981933594, 52985)]",AW-A*
"(1000, 1000)",7,30.0,1.0,1.0,0.5,True,52985.0,0,True,"[(1.2235333919525146, 52985)]",A*
"(1000, 1000)",7,30.0,,,0.5,False,inf,0,True,"[(1.202451467514038, 52985), (2.47643780708313, 52985), (3.7681000232696533, 52985), (5.004887342453003, 52985), (6.29145073890686, 52985), (7.586581230163574, 52985), (8.829845905303955, 52985), (10.155076742172241, 52985), (11.45200800895691, 52985), (12.69115161895752, 52985), (13.979971170425415, 52985), (15.217077255249023, 52985), (16.50937819480896, 52985), (17.8030948638916, 52985), (19.062255382537842, 52985), (20.36736536026001, 52985), (21.664615392684937, 52985), (22.92068648338318, 52985), (24.211175203323364, 52985), (25.45968794822693, 52985), (26.769140005111694, 52985), (28.085657358169556, 52985), (29.35739803314209, 52985)]",Greedy Best First
"(1000, 1000)",7,30.0,2.5,1.0,0.5,False,52985.0,0,True,"[(1.1210248470306396, 52985), (2.35848331451416, 52985), (3.497551441192627, 52985), (4.780352830886841, 52985)]",AW-A*
"(1000, 1000)",7,30.0,1.0,1.0,0.5,False,52985.0,0,True,"[(1.217198133468628, 52985)]",A*
"(1000, 1000)",7,60.0,,,0.25,True,inf,0,True,"[(1.218196153640747, 52985), (2.543691396713257, 52985), (3.8559091091156006, 52985), (5.111157655715942, 52985), (6.407235145568848, 52985), (7.716908931732178, 52985), (8.976337671279907, 52985), (10.278512716293335, 52985), (11.56069302558899, 52985), (12.85629916191101, 52985), (14.160850763320923, 52985), (15.416221141815186, 52985), (16.712186336517334, 52985), (18.019319534301758, 52985), (19.276268482208252, 52985), (20.580965280532837, 52985), (21.930588245391846, 52985), (23.186747074127197, 52985), (24.487059831619263, 52985), (25.7356538772583, 52985), (27.024260759353638, 52985), (28.3285653591156, 52985), (29.583048105239868, 52985), (30.887633323669434, 52985), (32.218966245651245, 52985), (33.46908116340637, 52985), (34.785529375076294, 52985), (36.09465265274048, 52985), (37.34759545326233, 52985), (38.64765000343323, 52985), (39.89915060997009, 52985), (41.1974618434906, 52985), (42.523003339767456, 52985), (43.770439863204956, 52985), (45.06525540351868, 52985), (46.373602867126465, 52985), (47.634535789489746, 52985), (48.93336796760559, 52985), (50.246254205703735, 52985), (51.52996492385864, 52985), (52.82947492599487, 52985), (54.08082056045532, 52985), (55.373419761657715, 52985), (56.67931079864502, 52985), (57.9316291809082, 52985), (59.233280181884766, 52985)]",Greedy Best First
"(1000, 1000)",7,60.0,2.5,1.0,0.25,True,52985.0,0,True,"[(1.1551291942596436, 52985), (2.3095951080322266, 52985), (3.5627498626708984, 52985), (4.694596767425537, 52985), (5.9561378955841064, 52985), (7.192157030105591, 52985), (8.440154075622559, 52985)]",AW-A*
"(1000, 1000)",7,60.0,1.0,1.0,0.25,True,52985.0,0,True,"[(1.2182109355926514, 52985)]",A*
"(1000, 1000)",7,60.0,,,0.25,False,inf,0,True,"[(1.2225489616394043, 52985), (2.516331911087036, 52985), (3.764244318008423, 52985), (5.053192853927612, 52985), (6.358031511306763, 52985), (7.607594013214111, 52985), (8.90053939819336, 52985), (10.23877739906311, 52985), (11.484963655471802, 52985), (12.776305675506592, 52985), (14.08251142501831, 52985), (15.33919644355774, 52985), (16.64073419570923, 52985), (17.88620924949646, 52985), (19.18539834022522, 52985), (20.50598907470703, 52985), (21.754279136657715, 52985), (23.049164056777954, 52985), (24.292750358581543, 52985), (25.5735604763031, 52985), (26.8729305267334, 52985), (28.12024450302124, 52985), (29.41413640975952, 52985), (30.7355854511261, 52985), (31.97868037223816, 52985), (33.26697134971619, 52985), (34.56918978691101, 52985), (35.821791648864746, 52985), (37.11024761199951, 52985), (38.415393590927124, 52985), (39.678760290145874, 52985), (40.99022173881531, 52985), (42.2962121963501, 52985), (43.55114555358887, 52985), (44.85284948348999, 52985), (46.1000816822052, 52985), (47.395618200302124, 52985), (48.700578451156616, 52985), (49.980467319488525, 52985), (51.26981854438782, 52985), (52.57588052749634, 52985), (53.82931423187256, 52985), (55.12352752685547, 52985), (56.37000036239624, 52985), (57.66021132469177, 52985), (58.9651243686676, 52985)]",Greedy Best First
