size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions
"(1500, 1300)",7,120.0,2.5,1.0,0.25,True,12827.0,9750,True,"[(9.736639022827148, 12875), (19.80417561531067, 12875), (30.086052894592285, 12875), (40.43281316757202, 12827), (50.86621022224426, 12827), (61.4757239818573, 12827), (71.98343849182129, 12827)]"
"(1500, 1300)",7,120.0,2.5,1.0,0.25,False,12827.0,9750,True,"[(9.641720294952393, 12875), (19.79227304458618, 12875), (30.27491283416748, 12875), (40.9678430557251, 12827), (51.387943983078, 12827), (61.9798378944397, 12827), (72.60486173629761, 12827)]"
"(1500, 1300)",7,120.0,2.5,1.0,0.5,True,12827.0,9750,True,"[(9.854999303817749, 12875), (20.260762453079224, 12875), (30.996556043624878, 12827), (41.55383110046387, 12827)]"
"(1500, 1300)",7,120.0,2.5,1.0,0.5,False,12827.0,9750,True,"[(9.55391812324524, 12875), (19.854770183563232, 12875), (30.34446096420288, 12827), (40.78143548965454, 12827)]"
"(1500, 1300)",7,0.2,3.0,1.0,0.25,True,inf,9750,False,[]
"(1500, 1300)",7,0.2,3.0,1.0,0.25,False,inf,9750,False,[]
"(1500, 1300)",7,0.2,3.0,1.0,0.5,True,inf,9750,False,[]
"(1500, 1300)",7,0.2,3.0,1.0,0.5,False,inf,9750,False,[]
"(1500, 1300)",7,1.0,3.0,1.0,0.25,True,inf,9750,False,[]
"(1500, 1300)",7,1.0,3.0,1.0,0.25,False,inf,9750,False,[]
"(1500, 1300)",7,1.0,3.0,1.0,0.5,True,inf,9750,False,[]
"(1500, 1300)",7,1.0,3.0,1.0,0.5,False,inf,9750,False,[]
"(1500, 1300)",7,3.0,3.0,1.0,0.25,True,inf,9750,False,[]
"(1500, 1300)",7,3.0,3.0,1.0,0.25,False,inf,9750,False,[]
"(1500, 1300)",7,3.0,3.0,1.0,0.5,True,inf,9750,False,[]
"(1500, 1300)",7,3.0,3.0,1.0,0.5,False,inf,9750,False,[]
"(1500, 1300)",7,30.0,3.0,1.0,0.25,True,12875.0,9750,True,"[(8.685674667358398, 12875), (18.061824798583984, 12875), (27.84453797340393, 12875)]"
"(1500, 1300)",7,30.0,3.0,1.0,0.25,False,12875.0,9750,True,"[(8.904921293258667, 12875), (18.20126461982727, 12875), (27.915990591049194, 12875)]"
"(1500, 1300)",7,30.0,3.0,1.0,0.5,True,12875.0,9750,True,"[(8.81659984588623, 12875), (18.55985188484192, 12875), (28.884259700775146, 12875)]"
"(1500, 1300)",7,30.0,3.0,1.0,0.5,False,12875.0,9750,True,"[(8.79844617843628, 12875), (18.434287309646606, 12875), (28.75475764274597, 12875)]"
"(1500, 1300)",7,60.0,3.0,1.0,0.25,True,12827.0,9750,True,"[(8.808922529220581, 12875), (18.12180519104004, 12875), (27.82002091407776, 12875), (37.95605397224426, 12875), (48.31446194648743, 12875), (58.84158635139465, 12827)]"
"(1500, 1300)",7,60.0,3.0,1.0,0.25,False,12827.0,9750,True,"[(8.779894590377808, 12875), (18.02263331413269, 12875), (27.883726835250854, 12875), (37.95502328872681, 12875), (48.31391167640686, 12875), (58.83885169029236, 12827)]"
"(1500, 1300)",7,60.0,3.0,1.0,0.5,True,12827.0,9750,True,"[(8.789124488830566, 12875), (18.552775382995605, 12875), (28.894916534423828, 12875), (39.257694482803345, 12827), (49.83112978935242, 12827)]"
"(1500, 1300)",7,60.0,3.0,1.0,0.5,False,12827.0,9750,True,"[(8.837149381637573, 12875), (18.64116644859314, 12875), (29.0494704246521, 12875), (39.52861952781677, 12827), (50.16883373260498, 12827)]"
"(1500, 1300)",7,120.0,3.0,1.0,0.25,True,12827.0,9750,True,"[(8.895933151245117, 12875), (18.261258363723755, 12875), (28.22789740562439, 12875), (38.37814688682556, 12875), (48.71482610702515, 12875), (59.30873489379883, 12827), (69.95394563674927, 12827), (80.71741819381714, 12827), (91.2961323261261, 12827)]"
