size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions
"(41, 41)",7,0.2,4.5,1.0,0.5,True,249,8,True,"[(0.002362966537475586, 249), (0.004747629165649414, 249), (0.007083892822265625, 249), (0.009413003921508789, 249), (0.011775970458984375, 249), (0.014104127883911133, 249), (0.016640424728393555, 249), (0.019176006317138672, 249)]"
"(41, 41)",7,1.0,2.5,1.0,0.5,False,249,8,True,"[(0.002437114715576172, 249), (0.006124019622802734, 249), (0.008462905883789062, 249), (0.010985136032104492, 249)]"
"(41, 41)",7,3.0,2.5,1.0,0.5,False,249,8,True,"[(0.0025544166564941406, 249), (0.004935503005981445, 249), (0.007305145263671875, 249), (0.010327339172363281, 249)]"
